name,min_price,prices,sizes,inches,Art,Print,Wall,art,Decor,print,Gift,Printable,Poster,Abstract,wall,decor,Watercolor,of,Nursery,Digital,Prints,Large,Modern,Download
"TAROT CARD CAT: The Fool (Giclée Fine Art Print) (8x10 12x16 16x20 18x24 24x32 A1 A2 A3 A4) Rolled, Stretched or Framed",18.0,"['18.00 - $58.00', '58.00 - $118.00', '20.00 - $62.00', '22.00 - $64.00', '78.00 - $138.00', '28.00 - $98.00']",,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cotton Anniversary Gift - Cross Stitch Family Portrait - Anniversary Gifts for Him - Custom Family Portrait - Personalized Gift Ideas,19.28,"['19.28', '23.93', '27.26', '38.57', '45.88', '47.88', '51.20', '53.20', '56.53', '58.52', '60.52', '63.84', '67.17', '69.16', '69.83', '70.49', '73.82', '75.81', '80.47', '85.13', '88.45', '91.78', '97.77', '99.76', '104.42', '110.40']",,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jungle painting canvas Wall decoration art on canvas Colorfull prints Art print Wall art canvas design Modern home decor Exotic decor,75.05,"['75.05', '102.54', '144.94', '217.12', '304.19']","[('60', '60'), ('90', '90'), ('70', '70'), ('100', '100'), ('120', '120')]",1.0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
11/14 acrylic painting on high quality cardboard,30.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acrylic Print, Floral Still Life by Jessica Wood Artist",110.0,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fishing Boat #2 Watercolor Print,21.0,"['21.00', '23.80', '29.40', '37.80', '47.60', '67.20']","[('32', '24'), ('40', '28')]",1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Belmar III - Aerial Beach Photography,25.0,"['25.00', '45.00', '75.00', '85.00']","[('8', '10'), ('11', '14'), ('16', '20'), ('16', '24')]",1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Minimal Branch Print,Black White Botanical Print,Minimalist Botanical Print,Botanical Wall Art,Black and White Botanical,Black White Leaves",6.0,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Watercolor Printable Art, Watercolor Print, Blue Abstract Art, Wall Arrt, Abstract Art Print, Instant Download, Light Blue Print, Modern Art",5.8,,,,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1
Mountain Landscape Photography Print - Printable Wall Art - Digital Prints - Mountain Wall Art - Farmhouse Decor - Boho Decor - nature print,6.5,,,,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"Fruit oil painting still life, fruit wall art, large oil painting still life, original kitchen oil painting,  impressionism art",390.22,,,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
